Time,Event_Type,Direction,Src_IP,Dest_IP,Payload_MB_or_Delay_MS
03:52:01,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.2815
03:52:01,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,3.026
03:52:01,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,4.2525
03:52:01,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,4.9775
03:52:01,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.1705
03:52:01,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.99,25.3249
03:52:01,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.9875
03:52:01,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,2.1911
03:52:01,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.0245
03:52:01,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.0856
03:52:01,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.4344
03:52:01,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.0233
03:52:01,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,2.7152
03:52:01,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.9292
03:52:01,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.8126
03:52:01,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.2726
03:52:01,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.3903
03:52:01,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,3.8027
03:52:01,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,5.6907
03:52:01,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.3142
03:52:01,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.0304
03:52:01,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.839
03:52:01,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.99,23.585
03:52:01,TCP_RETRANSMIT,DROP,192.168.52.110,185.125.188.59,1.0
03:52:01,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.99,21.9693
03:52:01,NETWORK_IO,IN_RECV,127.0.0.1,127.0.0.1,0.0312
03:52:01,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.99,20.54
03:52:01,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.99,19.1108
03:52:01,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
03:52:01,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
03:52:01,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.3835
03:52:01,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.3492
03:52:01,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,2.3083
03:52:01,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.677
03:52:01,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,2.2505
03:52:01,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,2.3886
03:52:01,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.389
03:52:01,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,4.2324
03:52:01,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.7581
03:52:01,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.7721
03:52:01,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.6975
03:52:01,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.99,17.433
03:52:01,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,3.6741
03:52:01,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.7465
03:52:01,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,5.3834
03:52:02,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.99,15.8794
03:52:02,NETWORK_IO,OUT_SEND,192.168.52.110,20.189.173.14,0.0156
03:52:02,NETWORK_IO,OUT_SEND,192.168.52.110,20.189.173.14,0.0117
03:52:02,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,2.9798
03:52:02,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,3.0733
03:52:02,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,2.8863
03:52:02,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,7.4582
03:52:02,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.99,14.3259
03:52:02,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.99,12.6481
03:52:02,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.99,11.0324
03:52:02,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,3.0106
03:52:02,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.99,9.4167
03:52:02,NETWORK_IO,IN_RECV,20.189.173.14,192.168.52.110,0.0166
03:52:02,NETWORK_IO,IN_RECV,20.189.173.14,192.168.52.110,0.0166
03:52:02,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.99,7.8632
03:52:02,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.99,6.3718
03:52:02,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
03:52:02,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
03:52:02,NETWORK_IO,IN_RECV,20.189.173.14,192.168.52.110,0.0166
03:52:02,NETWORK_IO,IN_RECV,20.189.173.14,192.168.52.110,0.0166
03:52:03,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.99,4.1968
03:52:03,NETWORK_IO,OUT_SEND,192.168.52.110,192.168.52.110,39.7167
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
03:52:03,NETWORK_IO,IN_RECV,192.168.52.110,192.168.52.110,0.25
